ID, UPDATE, DatetimeUTC, TimestampUTC, N_N71, BaB_A91, BaG_A91, BaR_A91, BsB0_S11, BsG0_S11, BsR0_S11, BbsB0_S11, BbsG0_S11, BbsR0_S11, BaB0_A11, BaB0_A12, BaG0_A11, BaG0_A12, BaR0_A11, BaR0_A12, BsB1_S11, BsG1_S11, BsR1_S11, BbsB1_S11, BbsG1_S11, BbsR1_S11, BaB1_A11, BaB1_A12, BaB1_A91, BaG1_A11, BaG1_A12, BaG1_A91, BaR1_A11, BaR1_A12, BaR1_A91, T0_S11, U0_S11, P0_S11, T1_S11, U1_S11, P1_S11, Ng_N71, BaBg_A91, BaGg_A91, BaRg_A91, BsB0g_S11, BsG0g_S11, BsR0g_S11, BbsB0g_S11, BbsG0g_S11, BbsR0g_S11, BaB0g_A11, BaB0g_A12, BaG0g_A11, BaG0g_A12, BaR0g_A11, BaR0g_A12, BsB1g_S11, BsG1g_S11, BsR1g_S11, BbsB1g_S11, BbsG1g_S11, BbsR1g_S11, BaB1g_A11, BaB1g_A12, BaB1g_A91, BaG1g_A11, BaG1g_A12, BaG1g_A91, datacol, BaR1g_A11, BaR1g_A12, BaR1g_A91, T0g_S11, U0g_S11, P0g_S11, T1g_S11, U1g_S11, P1g_S11, NN_N71, BaBN_A91, BaGN_A91, BaRN_A91, BsB0N_S11, BsG0N_S11, BsR0N_S11, BbsB0N_S11, BbsG0N_S11, BbsR0N_S11, BaB0N_A11, BaB0N_A12, BaG0N_A11, BaG0N_A12, BaR0N_A11, BaR0N_A12, BsB1N_S11, BsG1N_S11, BsR1N_S11, BbsB1N_S11, BbsG1N_S11, BbsR1N_S11, BaB1N_A11, BaB1N_A12, BaB1N_A91, BaG1N_A11, BaG1N_A12, BaG1N_A91, BaR1N_A11, BaR1N_A12, BaR1N_A91, T0N_S11, U0N_S11, P0N_S11, T1N_S11, U1N_S11, P1N_S11, Ba1_A81, Ba2_A81, Ba3_A81, Ba4_A81, Ba5_A81, Ba6_A81, Ba7_A81, X1_A81, X2_A81, X3_A81, X4_A81, X5_A81, X6_A81, X7_A81
87642, 0, 2019-01-01T01:00:00.000Z, 20181231170000, 333.8, 0.05, 0.03, 0.04, 5.18, 3.22, 1.4, 0.75, 0.49, 0.5, 0.39, 0.38, 0.31, 0.31, 0.27, 0.27, 2.58, 1.76, 0.44, 0.57, 0.18, 0.27, 0.22, 0.24, , 0.2, 0.2, , 0.2, 0.16, , 41.2, 8.4, 723.1, 41.2, 8, 717.8, 19, 0.12, 0.13, 0.08, 1.28, 0.86, 0.58, 0.57, 0.32, 0.48, 0.1, 0.11, 0.11, 0.14, 0.14, 0.15, 1.26, 0.55, 0.48, 0.5, 0.26, 0.29, 0.15, 0.16, , 0.09, 0.14, , , 0.3, 0.21, , 0.1, 0.1, 1.4, 0.1, 0.1, 0.6, 60, 56, 56, 56, 26, 26, 26, 26, 26, 26, 3, 27, 3, 27, 3, 27, 26, 26, 26, 26, 26, 26, 3, 26, , 3, 26, , 3, 26, , 29, 29, 29, 29, 29, 29, 0.69, 0.55, 0.46, 0.56, 0.26, 0.25, 0.15, 0.02, 0.02, 0.018, 0.017, 0.015, 0.015, 0.012
87643, 0, 2019-01-01T02:00:00.000Z, 20181231180000, 421.3, 0.02, 0.03, 0.01, 1.92, 1.38, 0.63, 0.01, 0.26, 0.07, 0.12, 0.1, 0.14, 0.11, 0.09, 0.07, 1.65, 1.06, 0.67, 0.3, 0.14, 0.07, 0.17, 0.13, , 0.14, 0.12, , 0.14, 0.07, , 41.2, 7.5, 722.7, 41.5, 6.4, 717.3, 35.8, 0.21, 0.22, 0.16, 0.55, 0.39, 0.47, 0.5, 0.25, 0.42, 0.2, 0.18, 0.07, 0.14, 0.15, 0.18, 0.71, 0.47, 0.55, 0.47, 0.27, 0.36, 0.13, 0.16, , 0.17, 0.11, , , 0.07, 0.23, , 0.2, 0.3, 1.4, 0.1, 0.1, 0.6, 60, 56, 56, 56, 26, 26, 26, 26, 26, 26, 3, 27, 3, 27, 3, 27, 26, 26, 26, 26, 26, 26, 3, 26, , 3, 26, , 3, 26, , 29, 29, 29, 29, 29, 29, 0.12, 0.08, 0, 0.19, -0.05, -0.18, -0.18, 0.002, 0, -0.002, -0.007, -0.004, -0.014, -0.015
87644, 0, 2019-01-01T03:00:00.000Z, 20181231190000, 403.8, 0.13, 0.11, 0.09, 0.88, 0.73, 0.6, 0.22, 0.21, 0.1, 0.16, 0.2, 0.19, 0.19, 0.13, 0.14, 1.44, 0.83, 0.61, 0.3, 0.24, 0.03, 0.27, 0.22, , 0.17, 0.18, , 0.22, 0.14, , 41.4, 6.5, 722.5, 41.5, 7.1, 717.3, 43.6, 0.24, 0.2, 0.16, 0.68, 0.4, 0.48, 0.51, 0.22, 0.43, 0.33, 0.12, 0.18, 0.15, 0.13, 0.17, 0.52, 0.43, 0.39, 0.61, 0.3, 0.34, 0.15, 0.15, , 0.1, 0.13, , , 0.2, 0.17, , 0.1, 0.1, 1.5, 0.1, 0.2, 0.5, 60, 56, 56, 56, 26, 26, 26, 26, 26, 26, 3, 27, 3, 27, 3, 27, 26, 26, 26, 26, 26, 26, 3, 26, , 3, 26, , 3, 26, , 29, 29, 29, 29, 29, 29, 0.82, 0.75, 0.72, 0.7, 0.66, 0.59, 0.6, 0.019, 0.022, 0.024, 0.026, 0.027, 0.033, 0.034
87645, 0, 2019-01-01T04:00:00.000Z, 20181231200000, 339, 0.1, 0.08, 0.06, 1.76, 0.99, 0.46, 0.03, 0.28, 0.29, -0.02, 0.18, 0.07, 0.15, -0.02, 0.13, 2.05, 1.07, 0.42, -0.16, 0.17, 0.34, 0.24, 0.2, , 0.26, 0.17, , 0.19, 0.13, , 41.3, 7.7, 722.5, 41.4, 6.8, 717.4, 80.1, 0.23, 0.21, 0.16, 0.7, 0.47, 0.4, 0.5, 0.27, 0.32, 0.39, 0.19, 0.26, 0.15, 0.09, 0.21, 0.65, 0.43, 0.55, 0.45, 0.27, 0.31, 0.2, 0.14, , 0.26, 0.14, , , 0.34, 0.18, , 0.1, 0.1, 1.5, 0.1, 0.3, 0.5, 60, 56, 56, 56, 26, 26, 26, 26, 26, 26, 3, 26, 3, 26, 3, 26, 26, 26, 26, 26, 26, 26, 3, 26, , 3, 26, , 3, 26, , 29, 29, 29, 29, 29, 29, 0.56, 0.49, 0.44, 0.4, 0.35, 0.3, 0.29, 0.013, 0.014, 0.014, 0.014, 0.013, 0.014, 0.014
87646, 0, 2019-01-01T05:00:00.000Z, 20181231210000, 370.7, 0.08, 0.08, 0.05, 2.11, 1.59, 1.01, -0.01, 0.1, 0.4, 0.05, 0.15, 0.14, 0.16, 0.04, 0.1, 1.39, 0.89, 0.74, -0.12, -0.03, 0.25, 0.14, 0.15, , 0.19, 0.13, , 0.11, 0.1, , 41.4, 7.3, 722.7, 41.7, 6.6, 717.7, 46.8, 0.25, 0.22, 0.19, 0.81, 0.46, 0.6, 0.31, 0.2, 0.49, 0.32, 0.17, 0.17, 0.18, 0.06, 0.18, 0.72, 0.38, 0.47, 0.54, 0.34, 0.27, 0.11, 0.15, , 0.18, 0.08, , , 0.24, 0.15, , 0.1, 0.4, 1.5, 0.1, 0.1, 0.5, 60, 56, 56, 56, 26, 26, 26, 26, 26, 26, 3, 26, 3, 26, 3, 26, 26, 26, 26, 26, 26, 26, 3, 25, , 3, 25, , 3, 25, , 29, 29, 29, 29, 29, 29, 0.31, 0.26, 0.18, 0.19, 0.14, 0.04, 0.01, 0.009, 0.009, 0.008, 0.015, 0.007, 0.005, 0.002
87647, 0, 2019-01-01T06:00:00.000Z, 20181231220000, 321.1, 0.08, 0.06, 0.04, 1.27, 0.79, 0.48, -0.28, 0.18, 0.44, 0.14, 0.14, 0.09, 0.11, 0.05, 0.1, 0.89, 0.8, 0.55, -0.3, 0.21, 0.39, 0.16, 0.14, , 0.12, 0.1, , 0.21, 0.09, , 41.5, 7, 723.1, 41.5, 7, 718.3, 15.6, 0.18, 0.18, 0.12, 0.46, 0.25, 0.45, 0.29, 0.28, 0.33, 0.17, 0.14, 0.18, 0.13, 0.1, 0.16, 0.85, 0.54, 0.46, 0.49, 0.21, 0.46, 0.18, 0.1, , 0.26, 0.12, , , 0.35, 0.15, , 0.1, 0.1, 1.5, 0.1, 0.1, 0.5, 60, 56, 56, 56, 26, 26, 26, 26, 26, 26, 3, 26, 3, 26, 3, 26, 26, 26, 26, 26, 26, 26, 3, 25, , 3, 25, , 3, 25, , 29, 29, 29, 29, 29, 29, 0.58, 0.54, 0.49, 0.48, 0.44, 0.42, 0.38, 0.011, 0.013, 0.013, 0.014, 0.013, 0.017, 0.018
87648, 0, 2019-01-01T07:00:00.000Z, 20181231230000, 276.8, 0.05, 0.03, 0.03, 0.9, 1.03, 0, -0.11, 0.11, -0.02, -0.17, 0.1, -0.08, 0.08, -0.12, 0.06, 0.34, 0.94, 0.02, -0.2, 0.13, -0.08, 0.02, 0.13, , 0.08, 0.08, , 0.04, 0.07, , 41.3, 7.5, 723.9, 41.3, 7.6, 718.9, 33.3, 0.31, 0.27, 0.22, 1, 0.73, 0.61, 0.56, 0.3, 0.35, 0.09, 0.17, 0.08, 0.16, 0.13, 0.2, 0.81, 0.77, 0.44, 0.44, 0.22, 0.34, 0.1, 0.2, , 0.24, 0.2, , , 0.17, 0.23, , 0.1, 0.2, 1.5, 0.1, 0.2, 0.5, 60, 56, 56, 56, 26, 26, 26, 26, 26, 26, 3, 26, 3, 26, 3, 26, 26, 26, 26, 26, 26, 26, 3, 25, , 3, 25, , 3, 25, , 29, 29, 29, 29, 29, 29, 0.37, 0.3, 0.26, 0.02, 0.19, 0.15, 0.11, 0.009, 0.01, 0.011, 0.01, 0.011, 0.012, 0.011
87649, 0, 2019-01-01T08:00:00.000Z, 20190101000000, 238.3, 0.07, 0.08, 0.05, 1.31, 0.96, 0.73, 0.87, 0.2, 0.05, 0.24, 0.11, 0.16, 0.12, 0.14, 0.08, 1.03, 0.64, 0.29, 0.95, 0.24, 0.05, 0.03, 0.06, , 0.08, 0.06, , 0.02, 0.03, , 41.3, 8, 724.4, 41.7, 8.1, 719.4, 23.4, 0.24, 0.23, 0.19, 0.69, 0.54, 0.6, 0.58, 0.29, 0.35, 0.22, 0.2, 0.13, 0.19, 0.02, 0.22, 0.69, 0.45, 0.43, 0.47, 0.24, 0.3, 0.26, 0.14, , 0.18, 0.18, , , 0.31, 0.16, , 0.2, 0.3, 1.5, 0.1, 0.1, 0.5, 60, 56, 56, 56, 26, 26, 26, 26, 26, 26, 3, 26, 3, 26, 3, 26, 26, 26, 26, 26, 26, 26, 3, 25, , 3, 25, , 3, 25, , 29, 29, 29, 29, 29, 29, 0.32, 0.3, 0.23, 0.03, 0.19, 0.09, 0.1, 0.01, 0.011, 0.012, 0.013, 0.012, 0.01, 0.011
87650, 0, 2019-01-01T09:00:00.000Z, 20190101010000, 250.4, 0.06, 0.04, 0.04, 0.99, 0.62, 0.43, -0.01, 0.25, 0.16, 0.07, 0.08, 0.06, 0.06, 0.11, 0.07, 1.36, 0.55, 0.3, 0.18, 0.22, 0.16, -0.09, 0.13, , -0.03, 0.12, , -0.06, 0.11, , 41.6, 8.1, 724.5, 41.6, 8.6, 719.5, 26, 0.49, 0.43, 0.34, 0.71, 0.42, 0.41, 0.42, 0.25, 0.53, 0.35, 0.26, 0.18, 0.18, 0.14, 0.24, 0.82, 0.41, 0.48, 0.45, 0.21, 0.41, 0.62, 0.24, , 0.64, 0.2, , , 0.35, 0.17, , 0.1, 0.2, 1.4, 0.1, 0.3, 0.5, 60, 56, 56, 56, 26, 26, 26, 26, 26, 26, 3, 26, 3, 26, 3, 26, 26, 26, 26, 26, 26, 26, 3, 25, , 3, 25, , 3, 25, , 29, 29, 29, 29, 29, 29, 0.41, 0.34, 0.31, 0.29, 0.28, 0.25, 0.24, 0.009, 0.01, 0.01, 0.011, 0.014, 0.018, 0.018
87651, 0, 2019-01-01T10:00:00.000Z, 20190101020000, 813.9, 0.08, 0.06, 0.04, 0.19, 1.27, 0.96, 0.54, 0.48, 0.45, 0.21, 0.16, 0.19, 0.13, 0.22, 0.11, 0.37, 0.99, 0.77, 0.64, 0.4, 0.38, 0.24, 0.15, , 0.23, 0.12, , 0.16, 0.08, , 41.5, 9.2, 724.6, 41.5, 9.1, 719.1, 574, 0.36, 0.34, 0.26, 1.64, 0.79, 0.62, 0.6, 0.23, 0.4, 0.06, 0.22, 0.07, 0.22, 0.14, 0.23, 1.07, 0.62, 0.49, 0.5, 0.25, 0.35, 0.26, 0.22, , 0.14, 0.15, , , 0.14, 0.19, , 0.1, 0.2, 1.5, 0.1, 0.1, 0.6, 60, 56, 56, 56, 26, 26, 26, 26, 26, 26, 3, 26, 3, 26, 3, 26, 26, 26, 26, 26, 26, 26, 3, 25, , 3, 25, , 3, 25, , 29, 29, 29, 29, 29, 29, 0.42, 0.39, 0.31, 0.5, 0.27, 0.25, 0.19, 0.009, 0.009, 0.008, 0.008, 0.009, 0.009, 0.011
87652, 0, 2019-01-01T11:00:00.000Z, 20190101030000, 2247, 0.09, 0.09, 0.06, 1.53, 1.05, 1.12, 0.22, 0.35, 0.45, -0.05, 0.17, -0.02, 0.17, -0.05, 0.11, 1.04, 0.66, 0.59, 0.15, 0.26, 0.38, 0.29, 0.08, , 0.28, 0.08, , 0.17, 0.06, , 41.4, 9.3, 723.9, 41.7, 9.2, 718.3, 555.2, 0.49, 0.42, 0.32, 0.69, 0.6, 0.63, 0.54, 0.27, 0.3, 0.41, 0.3, 0.26, 0.25, 0.35, 0.29, 0.6, 0.51, 0.64, 0.45, 0.24, 0.35, 0.31, 0.29, , 0.21, 0.24, , , 0.21, 0.19, , 0.1, 0.2, 1.4, 0.1, 0.2, 0.6, 60, 56, 56, 56, 26, 26, 26, 26, 26, 26, 3, 26, 3, 26, 3, 26, 26, 26, 26, 26, 26, 26, 3, 25, , 3, 25, , 3, 25, , 29, 29, 29, 29, 29, 29, 0.4, 0.33, 0.31, 0.46, 0.21, 0.21, 0.19, 0.009, 0.009, 0.01, 0.011, 0.013, 0.01, 0.006
87653, 0, 2019-01-01T12:00:00.000Z, 20190101040000, 2565.7, 0.15, 0.13, 0.09, 2.82, 2.13, 1.71, 0.64, 0.23, -0.11, 0.25, 0.29, 0.2, 0.25, 0.11, 0.19, 4.52, 2.77, 1.62, 0.85, 0.38, -0.09, 0.29, 0.37, , 0.25, 0.33, , 0.23, 0.27, , 41.6, 9.7, 722.9, 41.6, 9.8, 717.5, 496.8, 0.37, 0.35, 0.25, 1.3, 0.74, 0.72, 0.49, 0.3, 0.42, 0.74, 0.2, 0.62, 0.18, 0.55, 0.21, 0.97, 0.62, 0.54, 0.44, 0.29, 0.42, 0.35, 0.22, , 0.16, 0.18, , , 0.16, 0.18, , 0.1, 0.1, 1.4, 0.1, 0.1, 0.6, 60, 54, 54, 54, 26, 26, 26, 26, 26, 26, 3, 26, 3, 26, 3, 26, 26, 26, 26, 26, 26, 26, 3, 25, , 3, 25, , 3, 25, , 29, 29, 29, 29, 29, 29, 0.85, 0.72, 0.65, 0.75, 0.54, 0.43, 0.32, 0.021, 0.022, 0.022, 0.018, 0.024, 0.023, 0.025
87654, 0, 2019-01-01T13:00:00.000Z, 20190101050000, 2621.3, 0.19, 0.15, 0.13, 5.08, 3.32, 2.15, 0.83, 0.5, 0.07, 0.3, 0.38, 0.32, 0.33, 0.25, 0.25, 5.85, 3.51, 1.58, 1.1, 0.63, 0.29, 0.46, 0.41, , 0.38, 0.35, , 0.38, 0.28, , 41.4, 9.9, 722.4, 41.4, 10.1, 717.1, 422.8, 0.15, 0.16, 0.12, 0.68, 0.36, 0.43, 0.55, 0.28, 0.42, 0.09, 0.13, 0.06, 0.15, 0.12, 0.18, 0.72, 0.42, 0.39, 0.55, 0.28, 0.32, 0.14, 0.18, , 0.13, 0.12, , , 0.15, 0.15, , 0.1, 0.1, 1.4, 0.1, 0.1, 0.6, 60, 56, 56, 56, 22, 22, 22, 22, 22, 22, 3, 22, 3, 22, 3, 22, 25, 25, 25, 25, 25, 25, 3, 25, , 3, 25, , 3, 25, , 30, 30, 30, 29, 29, 29, 1.24, 1.02, 0.91, 0.84, 0.77, 0.61, 0.57, 0.029, 0.031, 0.03, 0.032, 0.032, 0.034, 0.033
87655, 0, 2019-01-01T14:00:00.000Z, 20190101060000, 2729.6, 0.22, 0.2, 0.15, 5.96, 4.34, 3.08, 1.05, 0.61, 0.62, 0.54, 0.57, 0.47, 0.51, 0.35, 0.37, 4.41, 2.87, 1.84, 0.99, 0.49, 0.52, 0.41, 0.36, , 0.35, 0.33, , 0.28, 0.23, , 41.2, 10.5, 722.1, 41.4, 10.1, 716.8, 190, 0.4, 0.34, 0.27, 1.17, 0.76, 0.96, 0.47, 0.21, 0.48, 0.32, 0.26, 0.39, 0.21, 0.08, 0.23, 0.88, 0.4, 0.44, 0.46, 0.33, 0.37, 0.14, 0.2, , 0.24, 0.19, , , 0.13, 0.2, , 0.1, 0.1, 1.4, 0.1, 0.2, 0.6, 60, 54, 54, 54, 27, 27, 27, 27, 27, 27, 3, 26, 3, 26, 3, 26, 26, 26, 26, 26, 26, 26, 3, 26, , 3, 26, , 3, 26, , 30, 30, 30, 30, 30, 30, 1.22, 0.94, 0.78, 0.67, 0.57, 0.34, 0.29, 0.03, 0.03, 0.029, 0.035, 0.028, 0.028, 0.026
87656, 0, 2019-01-01T15:00:00.000Z, 20190101070000, 2329.3, 0.36, 0.3, 0.22, 6.55, 3.95, 2.08, 0.78, 0.77, 0.66, 0.71, 0.66, 0.58, 0.57, 0.44, 0.43, 7.31, 4.17, 1.89, 0.68, 0.69, 0.73, 0.66, 0.65, , 0.58, 0.56, , 0.49, 0.44, , 41.4, 10.3, 722.1, 41.5, 10.2, 717.1, 136.1, 0.24, 0.26, 0.18, 1.13, 0.79, 0.77, 0.36, 0.3, 0.47, 0.25, 0.25, 0.14, 0.26, 0.26, 0.22, 0.75, 0.62, 0.4, 0.46, 0.19, 0.3, 0.16, 0.19, , 0.02, 0.15, , , 0.11, 0.19, , 0.1, 0.2, 1.5, 0.1, 0.1, 0.5, 60, 54, 54, 54, 26, 26, 26, 26, 26, 26, 3, 28, 3, 28, 3, 28, 26, 26, 26, 26, 26, 26, 3, 26, , 3, 26, , 3, 26, , 29, 29, 29, 29, 29, 29, 1.92, 1.55, 1.34, 1.22, 1.09, 0.78, 0.7, 0.046, 0.047, 0.046, 0.047, 0.048, 0.045, 0.043
87657, 0, 2019-01-01T16:00:00.000Z, 20190101080000, 1823.5, 0.34, 0.29, 0.22, 7.05, 4.91, 3.38, 0.79, 0.83, 0.69, 0.87, 0.75, 0.78, 0.64, 0.57, 0.48, 6.36, 3.87, 2.42, 0.65, 0.6, 0.57, 0.56, 0.54, , 0.43, 0.46, , 0.37, 0.35, , 41.3, 10.4, 722.4, 41.3, 10.1, 717.5, 228.6, 0.17, 0.17, 0.12, 0.75, 0.5, 0.52, 0.44, 0.23, 0.28, 0.13, 0.15, 0.09, 0.15, 0.06, 0.16, 0.74, 0.57, 0.49, 0.56, 0.33, 0.36, 0.19, 0.18, , 0.17, 0.11, , , 0.09, 0.17, , 0.1, 0.1, 1.5, 0.1, 0.1, 0.5, 60, 56, 56, 56, 26, 26, 26, 26, 26, 26, 3, 28, 3, 28, 3, 28, 26, 26, 26, 26, 26, 26, 3, 26, , 3, 26, , 3, 26, , 29, 29, 29, 29, 29, 29, 1.78, 1.43, 1.25, 0.91, 1, 0.76, 0.65, 0.044, 0.045, 0.044, 0.043, 0.042, 0.043, 0.042
87658, 0, 2019-01-01T17:00:00.000Z, 20190101090000, 1206.4, 0.19, 0.18, 0.12, 6.45, 4.06, 2.18, 0.56, 0.91, 0.47, 0.83, 0.63, 0.72, 0.56, 0.57, 0.41, 5.4, 3.15, 1.38, 0.5, 0.8, 0.47, 0.94, 0.4, , 0.82, 0.34, , 0.59, 0.23, , 41.1, 10.2, 722.8, 41.3, 9, 717.7, 214.3, 0.43, 0.37, 0.29, 1.11, 0.68, 0.53, 0.58, 0.29, 0.4, 0.22, 0.21, 0.1, 0.14, 0.12, 0.17, 1.58, 1.01, 0.69, 0.43, 0.28, 0.38, 0.45, 0.51, , 0.4, 0.49, , , 0.26, 0.42, , 0.1, 0.1, 1.5, 0.1, 0.8, 0.5, 60, 56, 56, 56, 26, 26, 26, 26, 26, 26, 3, 28, 3, 28, 3, 28, 26, 26, 26, 26, 26, 26, 3, 26, , 3, 26, , 3, 26, , 29, 29, 29, 29, 29, 29, 1.58, 1.24, 1.04, 0.69, 0.67, 0.34, 0.29, 0.028, 0.029, 0.028, 0.027, 0.027, 0.021, 0.017
87659, 0, 2019-01-01T18:00:00.000Z, 20190101100000, 1171.7, 0.51, 0.42, 0.32, 7.85, 5.24, 3.41, 0.56, 0.99, 0.72, 1.21, 0.87, 0.9, 0.75, 0.75, 0.57, 9.39, 5.47, 3.16, 0.62, 0.92, 0.69, 0.9, 0.93, , 0.82, 0.81, , 0.71, 0.62, , 41.3, 9.3, 723, 41.3, 9.8, 718, 117.5, 0.46, 0.41, 0.3, 1.73, 1.18, 0.84, 0.46, 0.38, 0.42, 0.29, 0.38, 0.3, 0.3, 0.35, 0.34, 1.54, 0.94, 0.74, 0.48, 0.27, 0.42, 0.18, 0.17, , 0.11, 0.15, , , 0.29, 0.18, , 0.1, 0.5, 1.5, 0.1, 0.1, 0.5, 60, 56, 56, 56, 26, 26, 26, 26, 26, 26, 3, 28, 3, 28, 3, 28, 26, 26, 26, 26, 26, 26, 3, 26, , 3, 26, , 3, 26, , 29, 29, 29, 29, 29, 29, 2.98, 2.42, 2.16, 1.75, 1.72, 1.32, 1.17, 0.075, 0.076, 0.076, 0.078, 0.078, 0.083, 0.083
87660, 0, 2019-01-01T19:00:00.000Z, 20190101110000, 1167.9, 0.47, 0.38, 0.29, 10.08, 6.63, 3.71, 1.46, 0.88, 0.91, 0.99, 0.96, 0.87, 0.84, 0.7, 0.64, 9.81, 6, 2.81, 1.25, 0.82, 0.7, 1.17, 1.05, , 1.05, 0.89, , 0.77, 0.68, , 41.2, 9.9, 723.4, 41.1, 9.9, 718.3, 46.5, 0.14, 0.15, 0.09, 0.7, 0.56, 0.8, 0.58, 0.28, 0.37, 0.19, 0.14, 0.14, 0.14, 0.02, 0.18, 1.01, 0.62, 0.57, 0.46, 0.25, 0.42, 0.1, 0.18, , 0.07, 0.16, , , 0.2, 0.18, , 0.1, 0.2, 1.5, 0.1, 0.1, 0.5, 60, 56, 56, 56, 26, 26, 26, 26, 26, 26, 3, 28, 3, 28, 3, 28, 26, 26, 26, 26, 26, 26, 3, 26, , 3, 26, , 3, 26, , 29, 29, 29, 29, 29, 29, 2.94, 2.38, 2.11, 1.87, 1.65, 1.28, 1.09, 0.072, 0.074, 0.073, 0.072, 0.072, 0.074, 0.07
87661, 0, 2019-01-01T20:00:00.000Z, 20190101120000, 1003.7, 0.64, 0.54, 0.39, 13.18, 8.49, 4.8, 1.6, 1.33, 0.71, 1.27, 1.24, 1.04, 1.07, 0.83, 0.8, 13.24, 7.91, 4.01, 1.53, 1.15, 0.66, 1.4, 1.19, , 1.23, 1.06, , 0.99, 0.77, , 40.9, 10, 723.5, 41.3, 9.5, 718.4, 81.8, 0.14, 0.15, 0.11, 0.86, 0.59, 0.4, 0.54, 0.31, 0.4, 0.05, 0.14, 0.19, 0.15, 0.1, 0.21, 0.77, 0.45, 0.42, 0.59, 0.26, 0.42, 0.13, 0.18, , 0.06, 0.14, , , 0.19, 0.16, , 0.1, 0.2, 1.5, 0.1, 0.1, 0.5, 60, 56, 56, 56, 26, 26, 26, 26, 26, 26, 3, 28, 3, 28, 3, 28, 26, 26, 26, 26, 26, 26, 3, 26, , 3, 26, , 3, 26, , 29, 29, 29, 29, 29, 29, 3.38, 2.74, 2.4, 2.3, 1.87, 1.36, 1.13, 0.083, 0.086, 0.084, 0.085, 0.084, 0.083, 0.077
87662, 0, 2019-01-01T21:00:00.000Z, 20190101130000, 1105.1, 0.23, 0.19, 0.14, 6.12, 4.05, 2.52, 1.33, 0.64, 0.2, 0.34, 0.55, 0.3, 0.47, 0.25, 0.36, 4.1, 2.33, 1.34, 1.1, 0.43, 0.14, 0.29, 0.38, , 0.29, 0.3, , 0.26, 0.22, , 41.3, 9.1, 723.4, 41.4, 8.4, 718.4, 87.4, 0.28, 0.23, 0.18, 2.82, 1.82, 0.94, 0.6, 0.34, 0.39, 0.2, 0.3, 0.15, 0.28, 0.21, 0.24, 2.05, 1.39, 0.67, 0.54, 0.34, 0.3, 0.19, 0.34, , 0.13, 0.32, , , 0.19, 0.31, , 0.1, 0.4, 1.5, 0.1, 0.3, 0.5, 60, 56, 56, 56, 26, 26, 26, 26, 26, 26, 3, 28, 3, 28, 3, 28, 26, 26, 26, 26, 26, 26, 3, 26, , 3, 26, , 3, 26, , 29, 29, 29, 29, 29, 29, 1, 0.78, 0.62, 0.71, 0.42, 0.21, 0.15, 0.03, 0.03, 0.027, 0.021, 0.023, 0.015, 0.011
87663, 0, 2019-01-01T22:00:00.000Z, 20190101140000, 991.7, 0.21, 0.18, 0.13, 3.75, 2.59, 1, 0.39, 0.55, 0.18, 0.55, 0.41, 0.43, 0.34, 0.37, 0.27, 2.5, 1.93, 0.51, 0.21, 0.22, 0.08, 0.48, 0.31, , 0.44, 0.25, , 0.42, 0.2, , 41.2, 8.4, 723.4, 41.2, 8.2, 718.3, 58.2, 0.22, 0.17, 0.15, 1.31, 0.55, 0.41, 0.5, 0.37, 0.41, 0.07, 0.18, 0.05, 0.18, 0.05, 0.19, 1, 0.54, 0.45, 0.56, 0.21, 0.42, 0.06, 0.24, , 0.05, 0.19, , , 0.25, 0.19, , 0.1, 0.2, 1.4, 0.1, 0.3, 0.5, 60, 56, 56, 56, 26, 26, 26, 26, 26, 26, 3, 28, 3, 28, 3, 28, 26, 26, 26, 26, 26, 26, 3, 26, , 3, 26, , 3, 26, , 29, 29, 29, 29, 29, 29, 1.09, 0.9, 0.8, 0.69, 0.59, 0.46, 0.43, 0.025, 0.027, 0.027, 0.028, 0.029, 0.032, 0.032
87664, 0, 2019-01-01T23:00:00.000Z, 20190101150000, 989.8, 0.32, 0.27, 0.19, 3.97, 2.65, 1.56, 0.35, 0.56, 0.29, 0.75, 0.42, 0.56, 0.37, 0.52, 0.27, 4.96, 3.2, 1.53, 0.47, 0.61, 0.28, 0.93, 0.56, , 0.74, 0.49, , 0.61, 0.35, , 41.1, 8.5, 723.5, 41.4, 8.6, 718.4, 45.4, 0.24, 0.2, 0.14, 1.39, 0.73, 0.61, 0.44, 0.27, 0.43, 0.26, 0.23, 0.27, 0.19, 0.2, 0.22, 1.34, 0.95, 0.52, 0.51, 0.23, 0.37, 0.42, 0.29, , 0.28, 0.21, , , 0.32, 0.26, , 0.1, 0.2, 1.5, 0.1, 0.2, 0.6, 60, 54, 54, 54, 26, 26, 26, 26, 26, 26, 3, 26, 3, 26, 3, 26, 26, 26, 26, 26, 26, 26, 3, 25, , 3, 25, , 3, 25, , 29, 29, 29, 29, 29, 29, 1.36, 1.13, 1.01, 0.9, 0.82, 0.59, 0.57, 0.034, 0.035, 0.035, 0.035, 0.035, 0.035, 0.034
